"","Year","Rank","Title","Description","Runtime","Genre","Rating","Metascore","Votes","Gross_earnings","Director","Actor","PG"
"45",2019,45,"Mike and Dave Need Wedding Dates","Two hard-partying brothers place an online ad to find the perfect dates for their sister's Hawaiian wedding. Hoping for a wild getaway, the boys instead find themselves out-hustled by an uncontrollable duo.",98,"Comedy",6,51,93096,46.01,"Jake Szymanski","Zac Efron","15"
"46",2019,46,"Miss Peregrine's Home for Peculiar Children","When Jacob (Asa Butterfield) discovers clues to a mystery that stretches across time, he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special powers.",127,"Adventure",6.7,57,182642,87.24,"Tim Burton","Eva Green","12A"
"47",2019,47,"Christine","The story of Christine Chubbuck, a 1970s TV reporter struggling with depression and professional frustrations as she tries to advance her career.",119,"Biography",6.9,72,16363,0.3,"Antonio Campos","Rebecca Hall","15"
"48",2019,48,"Lion","A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.",118,"Biography",8,69,245225,51.74,"Garth Davis","Dev Patel","PG"
"49",2019,49,"The Invisible Guest","A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defense.",106,"Crime",8,NA,186261,NA,"Oriol Paulo","Mario Casas","15"
"50",2019,50,"Trolls","After the Bergens invade Troll Village, Poppy, the happiest Troll ever born, and the curmudgeonly Branch set off on a journey to rescue her friends.",92,"Animation",6.4,55,87533,153.7,"Mike Mitchell","Anna Kendrick","U"
"51",2019,51,"Gods of Egypt","Mortal hero Bek teams with the god Horus in an alliance against Set, the merciless god of darkness, who has usurped Egypt's throne, plunging the once peaceful and prosperous empire into chaos and conflict.",127,"Action",5.4,25,122597,31.15,"Alex Proyas","Brenton Thwaites","12A"
"52",2019,52,"Raw","A young woman, studying to be a vet, develops a craving for human flesh.",99,"Drama",7,81,85311,0.51,"Julia Ducournau","Garance Marillier","18"
"53",2019,53,"Doctor Strange","While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.",115,"Action",7.5,72,779751,232.6,"Scott Derrickson","Benedict Cumberbatch","12A"
"54",2019,54,"Mother's Day","Three generations come together in the week leading up to Mother's Day.",118,"Comedy",5.6,18,38733,32.46,"Garry Marshall","Jennifer Aniston","12A"
"55",2019,55,"The Secret Life of Pets","The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.",87,"Animation",6.5,61,211610,368.3,"Chris Renaud","Louis C.K.","U"
"56",2019,56,"Brimstone","From the moment the new Reverend climbs the pulpit, Liz knows that she and her family are in great danger.",148,"Drama",7,45,43846,NA,"Martin Koolhoven","Guy Pearce","18"
"57",2019,57,"Jason Bourne","The CIA's most dangerous former operative is drawn out of hiding to uncover more explosive truths about his past.",123,"Action",6.6,58,236618,162.4,"Paul Greengrass","Matt Damon","12A"
"58",2019,58,"The Wailing","Soon after a stranger arrives in a little village, a mysterious sickness starts spreading. A policeman, drawn into the incident, is forced to solve the mystery in order to save his daughter.",156,"Drama",7.4,81,76101,NA,"Na Hong-jin","Jun Kunimura","15"
"59",2019,59,"Mechanic: Resurrection","Bishop's most formidable foe kidnaps the love of his life in order to make him complete three impossible assassinations and make them look like accidents.",98,"Action",5.7,38,90098,21.22,"Dennis Gansel","Jason Statham","15"
"60",2019,60,"Don't Breathe","Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems.",88,"Crime",7.1,71,290910,89.22,"Fede Alvarez","Stephen Lang","15"
"61",2019,61,"The Huntsman: Winter's War","Eric and fellow warrior Sara, raised as members of ice Queen Freya's army, try to conceal their forbidden love as they fight to survive the wicked intentions of both Freya and her sister Ravenna.",114,"Action",6.1,35,116293,48.39,"Cedric Nicolas-Troyan","Chris Hemsworth","12A"
"62",2019,62,"Everybody Wants Some!!","In 1980, a group of college baseball players navigate their way through the freedoms and responsibilities of unsupervised adulthood.",117,"Comedy",6.9,85,57318,3.37,"Richard Linklater","Blake Jenner","15"
"63",2019,63,"The Jungle Book","After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther Bagheera and free-spirited bear Baloo.",106,"Animation",7.4,77,286528,364,"Jon Favreau","Neel Sethi","PG"
